scenario_id,scenario_name,scenario_description,scenario_hook,turning_point,round_number,driver_code,actual_cumulative_points,alt_cumulative_points,delta,actual_championship_prob,alt_championship_prob,p_incident
hungary_ver,The Budapest Reversal,Verstappen wins the Hungarian GP instead of Norris — a 30-point swing that fundamentally reshapes the title fight from mid-season.,VER +30 pt swing,14,1,NOR,25.0,25.0,0.0,1.0,1.0,0.2025
hungary_ver,The Budapest Reversal,Verstappen wins the Hungarian GP instead of Norris — a 30-point swing that fundamentally reshapes the title fight from mid-season.,VER +30 pt swing,14,1,VER,18.0,18.0,0.0,0.0,0.0,0.2025
hungary_ver,The Budapest Reversal,Verstappen wins the Hungarian GP instead of Norris — a 30-point swing that fundamentally reshapes the title fight from mid-season.,VER +30 pt swing,14,1,PIA,2.0,2.0,0.0,0.0,0.0,0.2025
hungary_ver,The Budapest Reversal,Verstappen wins the Hungarian GP instead of Norris — a 30-point swing that fundamentally reshapes the title fight from mid-season.,VER +30 pt swing,14,2,NOR,43.0,43.0,0.0,0.0,0.0,0.2025
hungary_ver,The Budapest Reversal,Verstappen wins the Hungarian GP instead of Norris — a 30-point swing that fundamentally reshapes the title fight from mid-season.,VER +30 pt swing,14,2,VER,30.0,30.0,0.0,0.00178,0.00178,0.2025
hungary_ver,The Budapest Reversal,Verstappen wins the Hungarian GP instead of Norris — a 30-point swing that fundamentally reshapes the title fight from mid-season.,VER +30 pt swing,14,2,PIA,27.0,27.0,0.0,0.99822,0.99822,0.2025
hungary_ver,The Budapest Reversal,Verstappen wins the Hungarian GP instead of Norris — a 30-point swing that fundamentally reshapes the title fight from mid-season.,VER +30 pt swing,14,3,NOR,61.0,61.0,0.0,0.7675,0.7675,0.2025
hungary_ver,The Budapest Reversal,Verstappen wins the Hungarian GP instead of Norris — a 30-point swing that fundamentally reshapes the title fight from mid-season.,VER +30 pt swing,14,3,VER,55.0,55.0,0.0,0.02174,0.02174,0.2025
hungary_ver,The Budapest Reversal,Verstappen wins the Hungarian GP instead of Norris — a 30-point swing that fundamentally reshapes the title fight from mid-season.,VER +30 pt swing,14,3,PIA,42.0,42.0,0.0,0.21076,0.21076,0.2025
hungary_ver,The Budapest Reversal,Verstappen wins the Hungarian GP instead of Norris — a 30-point swing that fundamentally reshapes the title fight from mid-season.,VER +30 pt swing,14,4,NOR,76.0,76.0,0.0,0.0,0.0,0.2025
hungary_ver,The Budapest Reversal,Verstappen wins the Hungarian GP instead of Norris — a 30-point swing that fundamentally reshapes the title fight from mid-season.,VER +30 pt swing,14,4,VER,63.0,63.0,0.0,1.0,1.0,0.2025
hungary_ver,The Budapest Reversal,Verstappen wins the Hungarian GP instead of Norris — a 30-point swing that fundamentally reshapes the title fight from mid-season.,VER +30 pt swing,14,4,PIA,67.0,67.0,0.0,0.0,0.0,0.2025
